word,manmade,shoebox,nletters,freq,nsyllables,concreteness
ROPE,Y,Y,4,15,1,608
COTTON,N,Y,6,38,2,608
BEEF,N,Y,4,32,1,637
NECKLACE,Y,Y,8,3,2,633
KETTLE,Y,N,6,3,2,602
ONION,N,Y,5,15,2,632
PALACE,Y,N,6,38,2,579
MINERAL,N,Y,7,12,3,527
PALM,N,Y,4,22,1,596
DOORWAY,Y,N,7,15,2,578
FLUTE,Y,Y,5,1,1,587
LOTION,Y,Y,6,8,2,534
SOCK,Y,Y,4,4,1,581
TURTLE,N,Y,6,8,2,644
TOAST,Y,Y,5,19,1,582
RULER,Y,Y,5,3,2,555
FLOWER,N,Y,6,23,1,584
PLATE,Y,Y,5,22,1,595
PLANK,Y,N,5,7,1,592
WRECK,Y,N,5,8,1,505
TAIL,N,Y,4,24,1,613
BOOTH,Y,N,5,7,1,556
OTTER,N,N,5,5,2,631
CAPITOL,Y,N,7,22,3,529
BOOT,Y,Y,4,13,1,595
DOLL,Y,Y,4,10,1,588
CAMEL,N,N,5,1,2,597
BEAN,N,Y,4,5,1,604
TOILET,Y,N,6,13,2,586
TRASH,Y,Y,5,2,1,588
MOUSE,N,Y,5,10,1,624
BEAVER,N,N,6,3,2,589
LAMP,Y,N,4,18,1,615
OCEAN,N,N,5,34,2,593
WAIST,N,N,5,11,1,563
BROOM,Y,N,5,2,1,613
TIMBER,N,N,6,19,2,578
FURNACE,Y,N,7,11,2,600
BACTERIA,N,Y,8,8,3,560
FRUIT,N,Y,5,35,1,612
CARPET,Y,N,6,13,2,581
PICKLE,Y,Y,6,1,2,606
THUMB,N,Y,5,10,1,638
CHEESE,Y,Y,6,9,1,624
PORK,N,N,4,10,1,585
HOOD,Y,Y,4,7,1,547
VIOLIN,Y,N,6,11,2,626
SUPPER,Y,Y,6,37,2,563
TOBACCO,N,Y,7,19,3,609
SODA,Y,Y,4,3,2,600
SILVER,N,Y,6,29,2,564
LEATHER,Y,Y,7,24,2,575
GARLIC,N,Y,6,4,2,636
LAUNDRY,Y,N,7,5,2,576
MONKEY,N,N,6,9,2,566
HEDGE,Y,N,5,2,1,615
COKE,Y,Y,4,4,1,580
THREAD,Y,Y,6,15,1,607
SKIRT,Y,Y,5,21,1,614
SILK,Y,Y,4,12,1,538
TOAD,N,Y,4,4,1,568
JUICE,N,Y,5,11,1,599
TOOTH,N,Y,5,20,1,619
RIBBON,Y,Y,6,12,2,600
CHALK,Y,Y,5,3,1,634
VASE,Y,N,4,4,1,595
SOFA,Y,N,4,6,2,629
BATH,Y,N,4,26,1,600
FEAST,Y,N,5,3,1,542
DRIZZLE,N,Y,7,5,2,558
SOUP,Y,Y,4,16,1,615
SHEEP,N,N,5,23,1,622
BASEMENT,Y,N,8,31,2,585
SPRUCE,N,N,6,5,1,568
BLOSSOM,N,Y,7,7,2,559
CARD,Y,Y,4,26,1,565
CANDLE,Y,Y,6,18,2,565
SPONGE,Y,Y,6,7,1,597
POISON,N,Y,6,10,2,527
TRACTOR,Y,N,7,24,2,590
WORM,N,Y,4,4,1,611
SLEEVE,Y,Y,6,11,1,587
HARE,N,N,4,1,1,615
SUGAR,N,Y,5,34,2,620
CIDER,Y,Y,5,2,2,626
POTATO,N,Y,6,15,3,629
GRAVEL,N,Y,6,9,2,587
STEM,N,Y,4,29,1,556
WOMB,N,N,4,1,1,538
VEHICLE,Y,N,7,35,3,558
TANK,Y,N,4,12,1,581
QUARTER,Y,Y,7,34,2,509
FENCE,Y,N,5,30,1,597
CHERRY,N,Y,6,6,2,611
SAIL,Y,N,4,12,1,567
SQUIRREL,N,Y,8,1,2,612
BARREL,Y,N,6,24,2,590
SEAWEED,N,Y,7,3,2,593
CALF,N,N,4,11,1,592
STAR,N,N,4,25,1,574
PEARL,N,Y,5,9,1,597
DOUGH,Y,Y,5,13,1,627
CORRIDOR,Y,N,8,17,3,568
DRUM,Y,N,4,11,1,602
FORK,Y,Y,4,14,1,592
ALLEY,Y,N,5,8,2,557
BAGPIPE,Y,N,7,1,2,601
SNAIL,N,Y,5,1,1,579
SUNSET,N,N,6,14,2,525
PLUG,Y,Y,4,23,1,558
