setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set34,STEAM,N,Y,5,17,1,552,old,manmade,uninformed
set34,TUBE,Y,Y,4,31,1,581,old,shoebox,uninformed
set34,JAIL,Y,N,4,21,1,590,old,shoebox,informed
set34,CABIN,Y,N,5,23,2,596,old,manmade,uninformed
set34,CARD,Y,Y,4,26,1,565,old,shoebox,uninformed
set34,PEARL,N,Y,5,9,1,597,old,manmade,uninformed
set34,TENT,Y,N,4,20,1,608,old,manmade,informed
set34,CLOVER,N,Y,6,16,2,554,old,manmade,informed
set34,SEAWEED,N,Y,7,3,2,593,old,shoebox,uninformed
set34,JEEP,Y,N,4,16,1,622,old,shoebox,uninformed
set34,JACKET,Y,N,6,33,2,635,old,manmade,informed
set34,CARROT,N,Y,6,1,2,622,old,manmade,uninformed
set34,BUBBLE,N,Y,6,12,2,563,old,manmade,uninformed
set34,CREAM,Y,Y,5,20,1,621,old,shoebox,uninformed
set34,CROW,N,Y,4,2,1,590,old,manmade,informed
set34,TOAST,Y,Y,5,19,1,582,old,manmade,informed
set34,HAMMER,Y,Y,6,9,2,605,old,shoebox,uninformed
set34,LOBSTER,N,Y,7,1,2,590,old,shoebox,informed
set34,CLARINET,Y,N,8,1,3,633,old,shoebox,uninformed
set34,TOAD,N,Y,4,4,1,568,old,manmade,informed
set34,TRIANGLE,N,Y,8,4,3,523,old,shoebox,informed
set34,TOMATO,N,Y,6,4,3,662,old,manmade,informed
set34,CLOSET,Y,N,6,16,2,599,old,shoebox,uninformed
set34,BUSH,N,N,4,14,1,585,old,manmade,informed
set34,POTATO,N,Y,6,15,3,629,old,manmade,uninformed
set34,DEER,N,N,4,13,1,631,old,shoebox,uninformed
set34,STOOL,Y,N,5,8,1,592,old,shoebox,informed
set34,GOAT,N,N,4,6,1,636,old,shoebox,uninformed
set34,BANNER,Y,Y,6,8,2,567,old,manmade,informed
set34,SILK,Y,Y,4,12,1,538,old,shoebox,uninformed
set34,SEAL,N,N,4,17,1,587,old,shoebox,informed
set34,COFFIN,Y,N,6,7,2,595,old,manmade,informed
set34,SPINACH,N,Y,7,2,2,589,old,shoebox,informed
set34,TIGER,N,N,5,7,2,611,old,manmade,uninformed
set34,ALLEY,Y,N,5,8,2,557,old,shoebox,uninformed
set34,SODA,Y,Y,4,3,2,600,old,manmade,uninformed
set34,CONE,Y,Y,4,13,1,573,old,shoebox,informed
set34,TRIBE,Y,N,5,4,1,504,old,shoebox,uninformed
set34,SUNBURN,N,N,7,5,2,563,old,manmade,uninformed
set34,BOULDER,N,N,7,10,2,597,old,shoebox,uninformed
set34,BENCH,Y,N,5,35,1,614,old,shoebox,informed
set34,FLOWER,N,Y,6,23,1,584,old,manmade,uninformed
set34,BRICK,Y,Y,5,18,1,610,old,shoebox,uninformed
set34,CIDER,Y,Y,5,2,2,626,old,manmade,uninformed
set34,TULIP,N,Y,5,4,2,619,old,shoebox,informed
set34,SUGAR,N,Y,5,34,2,620,old,manmade,uninformed
set34,MOSS,N,Y,4,9,1,575,old,shoebox,uninformed
set34,LEMON,N,Y,5,18,2,608,old,manmade,uninformed
set34,DUCK,N,Y,4,9,1,606,old,shoebox,informed
set34,PLATE,Y,Y,5,22,1,595,old,manmade,uninformed
set34,FUEL,Y,Y,4,17,1,559,old,shoebox,uninformed
set34,WOLF,N,N,4,6,1,595,old,manmade,uninformed
set34,TROUT,N,Y,5,4,1,617,old,shoebox,informed
set34,ONION,N,Y,5,15,2,632,old,shoebox,informed
