word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_cue
PEAR,N,Y,4,6,1,634,old,manmade,informed,informed1,cyan,white,1,1
STICK,N,Y,5,39,1,604,old,manmade,informed,informed1,cyan,white,1,1
IVORY,N,Y,5,17,3,571,old,manmade,informed,informed1,cyan,white,1,1
MULE,N,N,4,4,1,592,old,manmade,informed,informed1,cyan,white,1,1
SALOON,Y,N,6,12,2,575,old,manmade,informed,informed1,cyan,white,1,1
FOOTBALL,Y,Y,8,36,2,584,old,manmade,informed,informed1,cyan,white,1,1
GALLERY,Y,N,7,31,3,569,old,manmade,informed,informed1,cyan,white,1,1
HEEL,N,Y,4,9,1,579,old,manmade,informed,informed1,cyan,white,1,1
BRACELET,Y,Y,8,1,2,602,old,manmade,informed,informed1,cyan,white,1,1
FLOWER,N,Y,6,23,1,584,old,manmade,informed,informed1,cyan,white,1,1
SLEEVE,Y,Y,6,11,1,587,old,manmade,informed,informed1,cyan,white,1,1
WOMB,N,N,4,1,1,538,old,manmade,informed,informed1,cyan,white,1,1
SKULL,N,N,5,3,1,570,old,manmade,informed,informed1,cyan,white,1,1
LION,N,N,4,17,1,627,old,manmade,informed,informed1,cyan,white,1,1
JACKET,Y,N,6,33,2,635,old,manmade,informed,informed1,cyan,white,1,1
SUPPER,Y,Y,6,37,2,563,old,manmade,informed,informed1,cyan,white,1,1
DIME,Y,Y,4,4,1,582,old,manmade,informed,informed1,cyan,white,1,1
SLOPE,N,N,5,19,1,513,old,manmade,informed,informed1,cyan,white,1,1
PEPPER,N,Y,6,13,2,591,old,manmade,informed,informed1,cyan,white,1,1
STOOL,Y,N,5,8,1,592,old,manmade,informed,informed1,cyan,white,1,1
SKIRT,Y,Y,5,21,1,614,old,manmade,informed,informed1,cyan,white,1,1
MOUNTAIN,N,N,8,33,2,616,old,manmade,informed,informed1,cyan,white,1,1
FENCE,Y,N,5,30,1,597,old,manmade,informed,informed1,cyan,white,1,1
CABBAGE,N,Y,7,4,2,611,old,manmade,informed,informed1,cyan,white,1,1
FEAST,Y,N,5,3,1,542,old,manmade,informed,informed1,cyan,white,1,1
ARROW,Y,N,5,14,2,595,old,manmade,informed,informed1,cyan,white,1,1
CRYSTAL,N,Y,7,23,2,587,old,manmade,informed,informed1,cyan,white,1,1
HEDGE,Y,N,5,2,1,615,old,manmade,informed,informed1,cyan,white,1,1
CARROT,N,Y,6,1,2,622,old,manmade,informed,informed1,cyan,white,1,1
PIER,Y,N,4,3,1,588,old,manmade,informed,informed1,cyan,white,1,1
SCRATCH,N,N,7,9,1,523,old,manmade,informed,informed1,cyan,white,1,1
TEAR,N,Y,4,11,1,504,old,manmade,informed,informed1,cyan,white,1,1
WRECK,Y,N,5,8,1,505,old,shoebox,informed,informed1,red,white,1,1
SHEEP,N,N,5,23,1,622,old,shoebox,informed,informed1,red,white,1,1
STRING,Y,Y,6,19,1,570,old,shoebox,informed,informed1,red,white,1,1
SPIDER,N,Y,6,2,2,607,old,shoebox,informed,informed1,red,white,1,1
SODA,Y,Y,4,3,2,600,old,shoebox,informed,informed1,red,white,1,1
CABLE,Y,Y,5,7,2,544,old,shoebox,informed,informed1,red,white,1,1
PICKLE,Y,Y,6,1,2,606,old,shoebox,informed,informed1,red,white,1,1
DRAIN,Y,Y,5,18,1,591,old,shoebox,informed,informed1,red,white,1,1
ANKLE,N,Y,5,8,2,608,old,shoebox,informed,informed1,red,white,1,1
FLUTE,Y,Y,5,1,1,587,old,shoebox,informed,informed1,red,white,1,1
NEEDLE,Y,Y,6,15,2,608,old,shoebox,informed,informed1,red,white,1,1
CEREAL,Y,Y,6,17,2,637,old,shoebox,informed,informed1,red,white,1,1
BARREL,Y,N,6,24,2,590,old,shoebox,informed,informed1,red,white,1,1
TENT,Y,N,4,20,1,608,old,shoebox,informed,informed1,red,white,1,1
KITTEN,N,Y,6,5,2,612,old,shoebox,informed,informed1,red,white,1,1
SCAR,N,Y,4,10,1,552,old,shoebox,informed,informed1,red,white,1,1
GARMENT,Y,Y,7,6,2,552,old,shoebox,informed,informed1,red,white,1,1
LAWN,Y,N,4,15,1,588,old,shoebox,informed,informed1,red,white,1,1
PASTE,Y,Y,5,10,1,559,old,shoebox,informed,informed1,red,white,1,1
SPRAY,Y,Y,5,16,1,514,old,shoebox,informed,informed1,red,white,1,1
PINE,N,N,4,14,1,592,old,shoebox,informed,informed1,red,white,1,1
COCKTAIL,Y,Y,8,25,2,576,old,shoebox,informed,informed1,red,white,1,1
RUST,N,Y,4,10,1,553,old,shoebox,informed,informed1,red,white,1,1
MOSS,N,Y,4,9,1,575,old,shoebox,informed,informed1,red,white,1,1
CROW,N,Y,4,2,1,590,old,shoebox,informed,informed1,red,white,1,1
SILK,Y,Y,4,12,1,538,old,shoebox,informed,informed1,red,white,1,1
FLAG,Y,Y,4,16,1,606,old,shoebox,informed,informed1,red,white,1,1
LINEN,Y,Y,5,6,2,581,old,shoebox,informed,informed1,red,white,1,1
GARLIC,N,Y,6,4,2,636,old,shoebox,informed,informed1,red,white,1,1
ROBIN,N,Y,5,2,2,637,old,shoebox,informed,informed1,red,white,1,1
CABIN,Y,N,5,23,2,596,old,shoebox,informed,informed1,red,white,1,1
BENCH,Y,N,5,35,1,614,old,shoebox,informed,informed1,red,white,1,1
