word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
ROOT,N,Y,4,30,1,558,old,manmade,uninformed,uninformed2,n/a,cyan,0
KNEE,N,Y,4,35,1,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
TEAR,N,Y,4,11,1,504,old,manmade,uninformed,uninformed2,n/a,cyan,0
TRASH,Y,Y,5,2,1,588,old,manmade,uninformed,uninformed2,n/a,cyan,0
CARRIAGE,Y,N,8,11,2,576,old,manmade,uninformed,uninformed2,n/a,cyan,0
TAPE,Y,Y,4,35,1,564,old,manmade,uninformed,uninformed2,n/a,cyan,0
PONY,N,N,4,10,2,611,old,manmade,uninformed,uninformed2,n/a,cyan,0
CEILING,Y,N,7,31,2,606,old,manmade,uninformed,uninformed2,n/a,cyan,0
RULER,Y,Y,5,3,2,555,old,manmade,uninformed,uninformed2,n/a,cyan,0
OTTER,N,N,5,5,2,631,old,manmade,uninformed,uninformed2,n/a,cyan,0
STAR,N,N,4,25,1,574,old,manmade,uninformed,uninformed2,n/a,cyan,0
TENT,Y,N,4,20,1,608,old,manmade,uninformed,uninformed2,n/a,cyan,0
SOUP,Y,Y,4,16,1,615,old,manmade,uninformed,uninformed2,n/a,cyan,0
POLE,Y,N,4,18,1,577,old,manmade,uninformed,uninformed2,n/a,cyan,0
LOCK,Y,Y,4,23,1,565,old,manmade,uninformed,uninformed2,n/a,cyan,0
UMBRELLA,Y,N,8,8,3,606,old,manmade,uninformed,uninformed2,n/a,cyan,0
CROW,N,Y,4,2,1,590,old,manmade,uninformed,uninformed2,n/a,cyan,0
GARBAGE,Y,Y,7,7,2,572,old,manmade,uninformed,uninformed2,n/a,cyan,0
LEAF,N,Y,4,12,1,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
GALLERY,Y,N,7,31,3,569,old,manmade,uninformed,uninformed2,n/a,cyan,0
JUICE,N,Y,5,11,1,599,old,manmade,uninformed,uninformed2,n/a,cyan,0
SUNSET,N,N,6,14,2,525,old,manmade,uninformed,uninformed2,n/a,cyan,0
MEAL,Y,Y,4,30,1,602,old,manmade,uninformed,uninformed2,n/a,cyan,0
SEAWEED,N,Y,7,3,2,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
SURF,N,N,4,1,1,527,old,manmade,uninformed,uninformed2,n/a,cyan,0
INSECT,N,Y,6,14,2,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
BLOSSOM,N,Y,7,7,2,559,old,manmade,uninformed,uninformed2,n/a,cyan,0
TENNIS,Y,N,6,15,2,574,old,manmade,uninformed,uninformed2,n/a,cyan,0
SHOE,Y,Y,4,14,1,600,old,manmade,uninformed,uninformed2,n/a,cyan,0
PILLOW,Y,N,6,8,2,613,old,manmade,uninformed,uninformed2,n/a,cyan,0
BRACELET,Y,Y,8,1,2,602,old,manmade,uninformed,uninformed2,n/a,cyan,0
DRIZZLE,N,Y,7,5,2,558,old,manmade,uninformed,uninformed2,n/a,cyan,0
VELVET,Y,Y,6,4,2,580,old,shoebox,uninformed,uninformed2,n/a,red,0
COLLAR,Y,Y,6,17,2,622,old,shoebox,uninformed,uninformed2,n/a,red,0
BACTERIA,N,Y,8,8,3,560,old,shoebox,uninformed,uninformed2,n/a,red,0
HEDGE,Y,N,5,2,1,615,old,shoebox,uninformed,uninformed2,n/a,red,0
CAMEL,N,N,5,1,2,597,old,shoebox,uninformed,uninformed2,n/a,red,0
SAND,N,Y,4,28,1,616,old,shoebox,uninformed,uninformed2,n/a,red,0
ONION,N,Y,5,15,2,632,old,shoebox,uninformed,uninformed2,n/a,red,0
CARPET,Y,N,6,13,2,581,old,shoebox,uninformed,uninformed2,n/a,red,0
COAL,N,Y,4,32,1,584,old,shoebox,uninformed,uninformed2,n/a,red,0
POISON,N,Y,6,10,2,527,old,shoebox,uninformed,uninformed2,n/a,red,0
TOOL,Y,Y,4,40,1,570,old,shoebox,uninformed,uninformed2,n/a,red,0
CAMERA,Y,Y,6,36,2,627,old,shoebox,uninformed,uninformed2,n/a,red,0
NOZZLE,Y,Y,6,4,2,555,old,shoebox,uninformed,uninformed2,n/a,red,0
MANSION,Y,N,7,8,2,579,old,shoebox,uninformed,uninformed2,n/a,red,0
LEATHER,Y,Y,7,24,2,575,old,shoebox,uninformed,uninformed2,n/a,red,0
BIRCH,N,N,5,2,1,620,old,shoebox,uninformed,uninformed2,n/a,red,0
MOSS,N,Y,4,9,1,575,old,shoebox,uninformed,uninformed2,n/a,red,0
PALM,N,Y,4,22,1,596,old,shoebox,uninformed,uninformed2,n/a,red,0
LAUNDRY,Y,N,7,5,2,576,old,shoebox,uninformed,uninformed2,n/a,red,0
CAVE,N,N,4,9,1,592,old,shoebox,uninformed,uninformed2,n/a,red,0
CEREAL,Y,Y,6,17,2,637,old,shoebox,uninformed,uninformed2,n/a,red,0
TOAD,N,Y,4,4,1,568,old,shoebox,uninformed,uninformed2,n/a,red,0
CORRIDOR,Y,N,8,17,3,568,old,shoebox,uninformed,uninformed2,n/a,red,0
POTATO,N,Y,6,15,3,629,old,shoebox,uninformed,uninformed2,n/a,red,0
BOOTH,Y,N,5,7,1,556,old,shoebox,uninformed,uninformed2,n/a,red,0
SATIN,Y,Y,5,5,2,594,old,shoebox,uninformed,uninformed2,n/a,red,0
COSTUME,Y,N,7,10,2,544,old,shoebox,uninformed,uninformed2,n/a,red,0
TAIL,N,Y,4,24,1,613,old,shoebox,uninformed,uninformed2,n/a,red,0
SEAM,Y,Y,4,9,1,538,old,shoebox,uninformed,uninformed2,n/a,red,0
JEWEL,N,Y,5,1,1,594,old,shoebox,uninformed,uninformed2,n/a,red,0
ROBIN,N,Y,5,2,2,637,old,shoebox,uninformed,uninformed2,n/a,red,0
HERB,N,Y,4,7,1,558,old,shoebox,uninformed,uninformed2,n/a,red,0
