word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
FOUNTAIN,Y,N,8,18,2,593,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
CLAM,N,Y,4,3,1,564,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
PUMP,Y,Y,4,11,1,556,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
SHRUB,N,N,5,1,1,588,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
BRANDY,Y,Y,6,7,2,595,old,shoebox,uninformed,uninformed_prac,n\a,red,0
BLISTER,N,Y,7,3,2,573,old,shoebox,uninformed,uninformed_prac,n\a,red,0
SHAWL,Y,Y,5,3,1,606,old,shoebox,uninformed,uninformed_prac,n\a,red,0
GRAPE,N,Y,5,3,1,611,old,shoebox,uninformed,uninformed_prac,n\a,red,0
QUILL,Y,Y,5,9,1,595,old,shoebox,uninformed,uninformed_prac,n\a,red,0
SPOON,Y,Y,5,6,1,614,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
TRACK,Y,N,5,38,1,547,old,manmade,uninformed,uninformed_prac,n\a,cyan,0
