word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
FLAG,Y,Y,4,16,1,606,old,manmade,informed,informed2,cyan,white,1,0
TOMATO,N,Y,6,4,3,662,old,manmade,informed,informed2,cyan,white,1,0
POLE,Y,N,4,18,1,577,old,manmade,informed,informed2,cyan,white,1,0
FROG,N,Y,4,1,1,619,old,manmade,informed,informed2,cyan,white,1,0
TOILET,Y,N,6,13,2,586,old,manmade,informed,informed2,cyan,white,1,0
HONEY,N,Y,5,25,2,611,old,manmade,informed,informed2,cyan,white,1,0
BAGPIPE,Y,N,7,1,2,601,old,manmade,informed,informed2,cyan,white,1,0
BLOSSOM,N,Y,7,7,2,559,old,manmade,informed,informed2,cyan,white,1,0
SEAWEED,N,Y,7,3,2,593,old,manmade,informed,informed2,cyan,white,1,0
TEAR,N,Y,4,11,1,504,old,manmade,informed,informed2,cyan,white,1,0
DRAIN,Y,Y,5,18,1,591,old,manmade,informed,informed2,cyan,white,1,0
PRAIRIE,n,n,7,21,2,575,old,manmade,informed,informed2,cyan,white,1,0
GRAPH,Y,Y,5,17,1,553,old,manmade,informed,informed2,cyan,white,1,0
PARADE,Y,N,6,25,2,523,old,manmade,informed,informed2,cyan,white,1,0
GRAVEL,N,Y,6,9,2,587,old,manmade,informed,informed2,cyan,white,1,0
CAKE,Y,Y,4,13,1,624,old,manmade,informed,informed2,cyan,white,1,0
LIMB,N,N,4,5,1,590,old,manmade,informed,informed2,cyan,white,1,0
BUSH,N,N,4,14,1,585,old,manmade,informed,informed2,cyan,white,1,0
QUARTER,Y,Y,7,34,2,509,old,manmade,informed,informed2,cyan,white,1,0
CHAPEL,Y,N,6,20,2,587,old,manmade,informed,informed2,cyan,white,1,0
BATH,Y,N,4,26,1,600,old,manmade,informed,informed2,cyan,white,1,0
CARD,Y,Y,4,26,1,565,old,manmade,informed,informed2,cyan,white,1,0
SADDLE,y,n,6,25,2,603,old,manmade,informed,informed2,cyan,white,1,0
THUNDER,N,N,7,14,2,547,old,manmade,informed,informed2,cyan,white,1,0
BUTTON,Y,Y,6,10,2,613,old,manmade,informed,informed2,cyan,white,1,0
SCRATCH,N,N,7,9,1,523,old,shoebox,informed,informed2,red,white,1,0
ALUMINUM,y,y,8,18,4,523,old,shoebox,informed,informed2,red,white,1,0
HAMMER,Y,Y,6,9,2,605,old,shoebox,informed,informed2,red,white,1,0
LANE,Y,N,4,30,1,537,old,shoebox,informed,informed2,red,white,1,0
DIME,Y,Y,4,4,1,582,old,shoebox,informed,informed2,red,white,1,0
RIBBON,Y,Y,6,12,2,600,old,shoebox,informed,informed2,red,white,1,0
SPIDER,N,Y,6,2,2,607,old,shoebox,informed,informed2,red,white,1,0
LOTION,Y,Y,6,8,2,534,old,shoebox,informed,informed2,red,white,1,0
POISON,N,Y,6,10,2,527,old,shoebox,informed,informed2,red,white,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,informed,informed2,red,white,1,0
HEEL,N,Y,4,9,1,579,old,shoebox,informed,informed2,red,white,1,0
STAR,N,N,4,25,1,574,old,shoebox,informed,informed2,red,white,1,0
ANKLE,N,Y,5,8,2,608,old,shoebox,informed,informed2,red,white,1,0
STOOL,Y,N,5,8,1,592,old,shoebox,informed,informed2,red,white,1,0
CORRIDOR,Y,N,8,17,3,568,old,shoebox,informed,informed2,red,white,1,0
PARCEL,Y,N,6,1,2,525,old,shoebox,informed,informed2,red,white,1,0
CIGAR,Y,Y,5,10,2,580,old,shoebox,informed,informed2,red,white,1,0
SNAIL,N,Y,5,1,1,579,old,shoebox,informed,informed2,red,white,1,0
BEVERAGE,Y,Y,8,5,3,526,old,shoebox,informed,informed2,red,white,1,0
BIRD,N,Y,4,31,1,602,old,shoebox,informed,informed2,red,white,1,0
MEDAL,y,y,5,7,2,571,old,shoebox,informed,informed2,red,white,1,0
HOOF,N,Y,4,2,1,596,old,shoebox,informed,informed2,red,white,1,0
NAPKIN,Y,Y,6,3,2,585,old,shoebox,informed,informed2,red,white,1,0
ORNAMENT,y,y,8,4,3,615,old,shoebox,informed,informed2,red,white,1,0
MANSION,Y,N,7,8,2,579,old,shoebox,informed,informed2,red,white,1,0
