word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
DIAL,Y,Y,4,1,1,537,old,manmade,uncued,uncued1,n/a,cyan,0,1
RIDGE,n,n,5,18,1,547,old,manmade,uncued,uncued1,n/a,cyan,0,1
DEER,N,N,4,13,1,631,old,manmade,uncued,uncued1,n/a,cyan,0,1
LEAF,N,Y,4,12,1,593,old,manmade,uncued,uncued1,n/a,cyan,0,1
MENU,Y,Y,4,5,2,555,old,manmade,uncued,uncued1,n/a,cyan,0,1
TAPE,Y,Y,4,35,1,564,old,manmade,uncued,uncued1,n/a,cyan,0,1
GIFT,Y,Y,4,33,1,533,old,manmade,uncued,uncued1,n/a,cyan,0,1
SHOE,Y,Y,4,14,1,600,old,manmade,uncued,uncued1,n/a,cyan,0,1
KETTLE,Y,N,6,3,2,602,old,manmade,uncued,uncued1,n/a,cyan,0,1
RAMP,Y,N,4,6,1,538,old,manmade,uncued,uncued1,n/a,cyan,0,1
SALOON,Y,N,6,12,2,575,old,manmade,uncued,uncued1,n/a,cyan,0,1
TRAIL,Y,N,5,31,1,511,old,manmade,uncued,uncued1,n/a,cyan,0,1
CHERRY,N,Y,6,6,2,611,old,manmade,uncued,uncued1,n/a,cyan,0,1
MAGNET,Y,Y,6,3,2,550,old,manmade,uncued,uncued1,n/a,cyan,0,1
ESSAY,Y,Y,5,19,2,527,old,manmade,uncued,uncued1,n/a,cyan,0,1
KITTEN,N,Y,6,5,2,612,old,manmade,uncued,uncued1,n/a,cyan,0,1
LINEN,Y,Y,5,6,2,581,old,manmade,uncued,uncued1,n/a,cyan,0,1
BANANA,N,Y,6,4,3,633,old,manmade,uncued,uncued1,n/a,cyan,0,1
PALACE,Y,N,6,38,2,579,old,manmade,uncued,uncued1,n/a,cyan,0,1
NOZZLE,Y,Y,6,4,2,555,old,manmade,uncued,uncued1,n/a,cyan,0,1
LACE,Y,Y,4,7,1,545,old,manmade,uncued,uncued1,n/a,cyan,0,1
TIMBER,N,N,6,19,2,578,old,manmade,uncued,uncued1,n/a,cyan,0,1
TIGER,N,N,5,7,2,611,old,manmade,uncued,uncued1,n/a,cyan,0,1
FROG,N,Y,4,1,1,619,old,manmade,uncued,uncued1,n/a,cyan,0,1
TEAR,N,Y,4,11,1,504,old,manmade,uncued,uncued1,n/a,cyan,0,1
TOBACCO,N,Y,7,19,3,609,old,shoebox,uncued,uncued1,n/a,red,0,1
WHISTLE,Y,Y,7,4,2,579,old,shoebox,uncued,uncued1,n/a,red,0,1
TOOTH,N,Y,5,20,1,619,old,shoebox,uncued,uncued1,n/a,red,0,1
CHALK,Y,Y,5,3,1,634,old,shoebox,uncued,uncued1,n/a,red,0,1
DRUG,Y,Y,4,24,1,555,old,shoebox,uncued,uncued1,n/a,red,0,1
VIOLIN,Y,N,6,11,2,626,old,shoebox,uncued,uncued1,n/a,red,0,1
FOIL,y,y,4,20,1,509,old,shoebox,uncued,uncued1,n/a,red,0,1
CROWN,y,y,5,19,1,586,old,shoebox,uncued,uncued1,n/a,red,0,1
CHOIR,Y,N,5,8,1,567,old,shoebox,uncued,uncued1,n/a,red,0,1
HEDGE,Y,N,5,2,1,615,old,shoebox,uncued,uncued1,n/a,red,0,1
TOAD,N,Y,4,4,1,568,old,shoebox,uncued,uncued1,n/a,red,0,1
ASPIRIN,y,y,7,3,3,574,old,shoebox,uncued,uncued1,n/a,red,0,1
CLOCK,Y,Y,5,20,1,591,old,shoebox,uncued,uncued1,n/a,red,0,1
CAVE,N,N,4,9,1,592,old,shoebox,uncued,uncued1,n/a,red,0,1
COUCH,Y,N,5,12,1,578,old,shoebox,uncued,uncued1,n/a,red,0,1
PARCEL,Y,N,6,1,2,525,old,shoebox,uncued,uncued1,n/a,red,0,1
IVORY,N,Y,5,17,3,571,old,shoebox,uncued,uncued1,n/a,red,0,1
PILLOW,Y,N,6,8,2,613,old,shoebox,uncued,uncued1,n/a,red,0,1
ROOT,N,Y,4,30,1,558,old,shoebox,uncued,uncued1,n/a,red,0,1
FUEL,Y,Y,4,17,1,559,old,shoebox,uncued,uncued1,n/a,red,0,1
PUDDLE,N,N,6,1,2,604,old,shoebox,uncued,uncued1,n/a,red,0,1
NEEDLE,Y,Y,6,15,2,608,old,shoebox,uncued,uncued1,n/a,red,0,1
TULIP,N,Y,5,4,2,619,old,shoebox,uncued,uncued1,n/a,red,0,1
DOORWAY,Y,N,7,15,2,578,old,shoebox,uncued,uncued1,n/a,red,0,1
OTTER,N,N,5,5,2,631,old,shoebox,uncued,uncued1,n/a,red,0,1
