word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
SHELL,N,Y,5,22,1,597,old,manmade,uninformed,uninformed1,white,cyan,1,0
ROBIN,N,Y,5,2,2,637,old,manmade,uninformed,uninformed1,white,cyan,1,0
SOCCER,Y,N,6,3,2,524,old,manmade,uninformed,uninformed1,white,cyan,1,0
TEMPLE,Y,N,6,38,2,565,old,manmade,uninformed,uninformed1,white,cyan,1,0
FROG,N,Y,4,1,1,619,old,manmade,uninformed,uninformed1,white,cyan,1,0
CIDER,Y,Y,5,2,2,626,old,manmade,uninformed,uninformed1,white,cyan,1,0
SILVER,N,Y,6,29,2,564,old,manmade,uninformed,uninformed1,white,cyan,1,0
BENCH,Y,N,5,35,1,614,old,manmade,uninformed,uninformed1,white,cyan,1,0
TOAD,N,Y,4,4,1,568,old,manmade,uninformed,uninformed1,white,cyan,1,0
TAIL,N,Y,4,24,1,613,old,manmade,uninformed,uninformed1,white,cyan,1,0
PLANK,Y,N,5,7,1,592,old,manmade,uninformed,uninformed1,white,cyan,1,0
GARMENT,Y,Y,7,6,2,552,old,manmade,uninformed,uninformed1,white,cyan,1,0
CIGAR,Y,Y,5,10,2,580,old,manmade,uninformed,uninformed1,white,cyan,1,0
CORK,Y,Y,4,9,1,608,old,manmade,uninformed,uninformed1,white,cyan,1,0
WOMB,N,N,4,1,1,538,old,manmade,uninformed,uninformed1,white,cyan,1,0
TURTLE,N,Y,6,8,2,644,old,manmade,uninformed,uninformed1,white,cyan,1,0
BRACELET,Y,Y,8,1,2,602,old,manmade,uninformed,uninformed1,white,cyan,1,0
COAL,N,Y,4,32,1,584,old,manmade,uninformed,uninformed1,white,cyan,1,0
MENU,Y,Y,4,5,2,555,old,manmade,uninformed,uninformed1,white,cyan,1,0
LION,N,N,4,17,1,627,old,manmade,uninformed,uninformed1,white,cyan,1,0
ORANGE,n,y,6,23,2,601,old,manmade,uninformed,uninformed1,white,cyan,1,0
HATCHET,y,y,7,4,2,607,old,manmade,uninformed,uninformed1,white,cyan,1,0
CAPITOL,Y,N,7,22,3,529,old,manmade,uninformed,uninformed1,white,cyan,1,0
PLANET,n,n,6,21,2,523,old,manmade,uninformed,uninformed1,white,cyan,1,0
TONGUE,N,Y,6,35,1,634,old,manmade,uninformed,uninformed1,white,cyan,1,0
PENCIL,Y,Y,6,34,2,617,old,shoebox,uninformed,uninformed1,white,red,1,0
CABLE,Y,Y,5,7,2,544,old,shoebox,uninformed,uninformed1,white,red,1,0
CALF,N,N,4,11,1,592,old,shoebox,uninformed,uninformed1,white,red,1,0
MONKEY,N,N,6,9,2,566,old,shoebox,uninformed,uninformed1,white,red,1,0
WHISTLE,Y,Y,7,4,2,579,old,shoebox,uninformed,uninformed1,white,red,1,0
HARE,N,N,4,1,1,615,old,shoebox,uninformed,uninformed1,white,red,1,0
DRUG,Y,Y,4,24,1,555,old,shoebox,uninformed,uninformed1,white,red,1,0
PODIUM,Y,N,6,1,2,546,old,shoebox,uninformed,uninformed1,white,red,1,0
TOMATO,N,Y,6,4,3,662,old,shoebox,uninformed,uninformed1,white,red,1,0
GOLF,Y,N,4,34,1,540,old,shoebox,uninformed,uninformed1,white,red,1,0
SPEAR,Y,N,5,7,1,584,old,shoebox,uninformed,uninformed1,white,red,1,0
UMBRELLA,Y,N,8,8,3,606,old,shoebox,uninformed,uninformed1,white,red,1,0
GINGER,N,Y,6,2,2,522,old,shoebox,uninformed,uninformed1,white,red,1,0
OCEAN,N,N,5,34,2,593,old,shoebox,uninformed,uninformed1,white,red,1,0
BOUQUET,y,y,7,4,2,566,old,shoebox,uninformed,uninformed1,white,red,1,0
WOLF,N,N,4,6,1,595,old,shoebox,uninformed,uninformed1,white,red,1,0
SHOWER,Y,N,6,15,1,588,old,shoebox,uninformed,uninformed1,white,red,1,0
CLOUD,N,N,5,28,1,554,old,shoebox,uninformed,uninformed1,white,red,1,0
CLOSET,Y,N,6,16,2,599,old,shoebox,uninformed,uninformed1,white,red,1,0
LAMB,N,N,4,7,1,633,old,shoebox,uninformed,uninformed1,white,red,1,0
ORGAN,N,Y,5,12,2,596,old,shoebox,uninformed,uninformed1,white,red,1,0
POLE,Y,N,4,18,1,577,old,shoebox,uninformed,uninformed1,white,red,1,0
DOORWAY,Y,N,7,15,2,578,old,shoebox,uninformed,uninformed1,white,red,1,0
NEST,N,Y,4,20,1,557,old,shoebox,uninformed,uninformed1,white,red,1,0
SEAM,Y,Y,4,9,1,538,old,shoebox,uninformed,uninformed1,white,red,1,0
