word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
BARN,Y,N,4,29,1,614,old,manmade,informed,informed_prac,cyan,white,1,0
SHIRT,Y,Y,5,27,1,616,old,manmade,informed,informed_prac,cyan,white,1,0
PILE,Y,N,4,25,1,504,old,manmade,informed,informed_prac,cyan,white,1,0
CHICKEN,N,N,7,37,2,614,old,manmade,informed,informed_prac,cyan,white,1,0
STOMACH,N,Y,7,37,2,617,old,manmade,informed,informed_prac,cyan,white,1,0
AISLE,Y,N,5,6,1,509,old,shoebox,informed,informed_prac,red,white,1,0
CAFE,Y,N,4,20,2,568,old,shoebox,informed,informed_prac,red,white,1,0
CUBE,Y,Y,4,1,1,530,old,shoebox,informed,informed_prac,red,white,1,0
NEWT,N,Y,4,8,1,606,old,shoebox,informed,informed_prac,red,white,1,0
TICKET,Y,Y,6,16,2,590,old,shoebox,informed,informed_prac,red,white,1,0
TORTOISE,N,N,8,3,2,602,old,manmade,uninformed,uninformed_prac,white,cyan,1,0
FOUNTAIN,Y,N,8,18,2,593,old,manmade,uninformed,uninformed_prac,white,cyan,1,0
CLAM,N,Y,4,3,1,564,old,manmade,uninformed,uninformed_prac,white,cyan,1,0
PUMP,Y,Y,4,11,1,556,old,manmade,uninformed,uninformed_prac,white,cyan,1,0
SHRUB,N,N,5,1,1,588,old,manmade,uninformed,uninformed_prac,white,cyan,1,0
BRANDY,Y,Y,6,7,2,595,old,shoebox,uninformed,uninformed_prac,white,red,1,0
BLISTER,N,Y,7,3,2,573,old,shoebox,uninformed,uninformed_prac,white,red,1,0
SHAWL,Y,Y,5,3,1,606,old,shoebox,uninformed,uninformed_prac,white,red,1,0
GRAPE,N,Y,5,3,1,611,old,shoebox,uninformed,uninformed_prac,white,red,1,0
QUILL,Y,Y,5,9,1,595,old,shoebox,uninformed,uninformed_prac,white,red,1,0
SPOON,Y,Y,5,6,1,614,old,manmade,uncued,uncued_prac,n\a,cyan,0,1
TRACK,Y,N,5,38,1,547,old,manmade,uncued,uncued_prac,n\a,cyan,0,1
BRANCH,n,n,6,33,1,583,old,manmade,uncued,uncued_prac,n\a,cyan,0,1
OLIVE,n,y,5,5,2,618,old,manmade,uncued,uncued_prac,n\a,cyan,0,1
TIRE,y,n,4,22,2,563,old,manmade,uncued,uncued_prac,n\a,cyan,0,1
PENNY,y,y,5,25,2,606,old,shoebox,uncued,uncued_prac,n\a,red,0,1
MARBLE,n,y,6,21,1,611,old,shoebox,uncued,uncued_prac,n\a,red,0,1
CATFISH,n,y,7,2,2,614,old,shoebox,uncued,uncued_prac,n\a,red,0,1
HAIRPIN,y,y,7,1,2,584,old,shoebox,uncued,uncued_prac,n\a,red,0,1
KITE,y,n,4,1,1,592,old,shoebox,uncued,uncued_prac,n\a,red,0,1
